titleComplete,genres
We Won't Fade Into Darkness,short stories
Rain,
Africa and Globalization: Challenges of Governance and Creativity (African Histories and Modernities),
Tuikku ja pimeän mörkö,picture books
Ordering the African Imagination,
Urhobo Language Today,
"The Rise and Fall of Nigeria's Second Republic, 1979-84",
The Promise Under the Iroko Tree,
His Bastard Son,
The Bodies That Move,contemporary
The Bodies That Move,fiction
The Literature and Arts of the Niger Delta,
Love Gifts,
Narrow Escapes: A Poetic Diary of the Coronavirus Pandemic,
The Kishi (Tales from Esowon #1),adult
The Kishi (Tales from Esowon #1),fantasy
The Kishi (Tales from Esowon #1),fiction
The Kishi (Tales from Esowon #1),demons
The Kishi (Tales from Esowon #1),dark fantasy
The Kishi (Tales from Esowon #1),science fiction fantasy
The Kishi (Tales from Esowon #1),shapeshifters
The Kishi (Tales from Esowon #1),paranormal
The Kishi (Tales from Esowon #1),horror
The Beauty I Have Seen & Other Poems,
The Gatekeeper's Staff: An Old Gods Story (TJ Young & The Orishas #1),cultural
The Gatekeeper's Staff: An Old Gods Story (TJ Young & The Orishas #1),mythology
The Gatekeeper's Staff: An Old Gods Story (TJ Young & The Orishas #1),urban fantasy
The Gatekeeper's Staff: An Old Gods Story (TJ Young & The Orishas #1),fantasy
The Gatekeeper's Staff: An Old Gods Story (TJ Young & The Orishas #1),fiction
The Gatekeeper's Staff: An Old Gods Story (TJ Young & The Orishas #1),middle grade
The Gatekeeper's Staff: An Old Gods Story (TJ Young & The Orishas #1),magic
The Gatekeeper's Staff: An Old Gods Story (TJ Young & The Orishas #1),childrens
The Gatekeeper's Staff: An Old Gods Story (TJ Young & The Orishas #1),young adult
"Poetry, Performance, and Art: Udje Dance Songs of the Urhobo People",
A History of Twentieth-Century African Literatures,
Narrow Escapes: A Poetic Diary of the Coronavirus Pandemic,
Drawing the Map of Heaven: An African Writer in America,
African Literatures: An Introduction,
"The Lion, the Tortoise, and the Princess Gazelle",animals
"The Lion, the Tortoise, and the Princess Gazelle",picture books
The African Difference: Discourses on Africanity and the Relativity of Cultures,
Visions And Revisions: Essays On African Literatures And Criticism,
Guanya Pau: A Story of an African Princess,
Fading Face,
The Columbia Guide to West African Literature in English Since 1945,
The Poetry of Wole Soyinka,poetry
The Female King of Colonial Nigeria: Ahebi Ugbabe,biography
The Female King of Colonial Nigeria: Ahebi Ugbabe,nonfiction
The Female King of Colonial Nigeria: Ahebi Ugbabe,gender
The Female King of Colonial Nigeria: Ahebi Ugbabe,history
"By Sea & Sky: An Esowon Story (The Sky Pirate Chronicles, #1)",pirates
"By Sea & Sky: An Esowon Story (The Sky Pirate Chronicles, #1)",audiobook
"By Sea & Sky: An Esowon Story (The Sky Pirate Chronicles, #1)",fantasy
"By Sea & Sky: An Esowon Story (The Sky Pirate Chronicles, #1)",adventure
"By Sea & Sky: An Esowon Story (The Sky Pirate Chronicles, #1)",fiction
"By Sea & Sky: An Esowon Story (The Sky Pirate Chronicles, #1)",magic
"By Sea & Sky: An Esowon Story (The Sky Pirate Chronicles, #1)",historical
"By Sea & Sky: An Esowon Story (The Sky Pirate Chronicles, #1)",science fiction
"By Sea & Sky: An Esowon Story (The Sky Pirate Chronicles, #1)",action
"By Sea & Sky: An Esowon Story (The Sky Pirate Chronicles, #1)",young adult
Too good to die: Third term and the myth of the indispensable man in Africa,
Memoir of an Executive Admiral,
"Journal of West African History 5, no. 2",
A Companion to African History,
Women and Gender in Africa,
Fate of Vultures and Other Poems (Malthouse African Poetry),
The Politics of Federalism in Nigeria,
"Farmers, Traders, Warriors, and Kings: Female Power and Authority in Northern Igboland, 1900-1960",
TRAUMA,
Gowon: The Biography of a Soldier-Statesman,
Transition to Transition: Prospects of an Enduring Democratic Polity in Nigeria,
FATE HAPPENED (Duct #6),
Female Monarchs and Merchant Queens in Africa (Ohio Short Histories of Africa),feminism
Female Monarchs and Merchant Queens in Africa (Ohio Short Histories of Africa),nonfiction
Female Monarchs and Merchant Queens in Africa (Ohio Short Histories of Africa),history
Aunty Vero  (Ubiak-Etto Series #1),
Before a Common Soil,
The Duct Series,
"Inside Out (A Ridiculous Royal Tale, #1)",
Proof in Alonzo Church's and Alan Turing's Mathematical Logic: Undecidability of First-Order Logic,
Ka Osi Sọ Onye: African Philosophy in the Postmodern Era,
FAIR ODDS (Retired Navy Men #1),
African Ethics: A Guide to Key Ideas,
Ezumezu: A System of Logic for African Philosophy and Studies,
Atuolu Omalu: Some Unanswered Questions in Contemporary African Philosophy,
African Philosophy and the Epistemic Marginalization of Women,
"African Metaphysics, Epistemology, and a New Logic: A Decolonial Approach to Philosophy",
Introducing African Science: Systematic And Philosophical Approach,
African Philosophy and Environmental Conservation,
"The Rise of China and India in Africa: Challenges, Opportunities and Critical Interventions",
"Of Altair, The Bright Light",poetry
Loosened (Duct #5),
Akimbo in Limbo,
Prospects for Trade Between Nigeria and Its Neighbours,
Regional Economic Communities and Peacebuilding in Africa: Lessons from ECOWAS and IGAD,
Orchestra of Her Last Rites,
Orchestra of Her Last Rites,
